,0
Current Ratio,1.7023717583431084
Quick Ratio,1.6477807416647552
Return on Equity (ROE),0.12492718229668397
Return on Assets (ROA),0.08086339954149246
Gross Profit Margin,0.5053773339506584
Operating Profit Margin,0.1680837944513503
Net Profit Margin,0.12140613001110791
Earnings Per Share (EPS),4.1625
Price to Earnings (P/E) Ratio,28.281140011345048
Days Sales Outstanding (DSO),59.884698029202
Days Inventory Outstanding (DIO),10.508648377595549
Cash Conversion Cycle (CCC),17.588109929574593
Debt to Equity Ratio,0.4025202413969867
Debt to Capital Ratio,0.26388583321720843
Debt to Assets Ratio,0.19239876408591827
Financial Leverage Ratio,1.8953903866577306
Debt to EBITDA Ratio,2.9707713577875503
Interest Coverage,77.24667319188896
