,0
Current Ratio,0.8786877609776642
Quick Ratio,0.5882168013584396
Return on Equity (ROE),1.0146170685947304
Return on Assets (ROA),0.09566067152109566
Gross Profit Margin,0.4510811102380187
Operating Profit Margin,0.16727917427874384
Net Profit Margin,0.13057340797248382
Earnings Per Share (EPS),4.378333333333333
Price to Earnings (P/E) Ratio,23.309157124095506
Days Sales Outstanding (DSO),28.564898699825715
Days Inventory Outstanding (DIO),57.96561660384038
Cash Conversion Cycle (CCC),-12.774922736143429
Debt to Equity Ratio,4.799991471886271
Debt to Capital Ratio,0.6264106896858417
Debt to Assets Ratio,0.4095747402395061
Financial Leverage Ratio,9.497865930322993
Debt to EBITDA Ratio,3.019223193980517
Interest Coverage,11.264840037751675
