,0
Current Ratio,1.353120006360223
Quick Ratio,1.1040802609448328
Return on Equity (ROE),0.31358951931552925
Return on Assets (ROA),0.14732138233858003
Gross Profit Margin,0.3659019059874347
Operating Profit Margin,0.21267213948701005
Net Profit Margin,0.17580142727085626
Earnings Per Share (EPS),14.340000000000002
Price to Earnings (P/E) Ratio,8.186402773838052
Days Sales Outstanding (DSO),39.358259299604974
Days Inventory Outstanding (DIO),55.83955974741102
Cash Conversion Cycle (CCC),-11.345274966583204
Debt to Equity Ratio,0.4447981119598323
Debt to Capital Ratio,0.2908234168664193
Debt to Assets Ratio,0.1956415109189161
Financial Leverage Ratio,2.1515136902444882
Debt to EBITDA Ratio,0.8577187509176035
Interest Coverage,44.24209891662843
