,0
Current Ratio,
Quick Ratio,
Return on Equity (ROE),0.09459120803286235
Return on Assets (ROA),0.008052257857469809
Gross Profit Margin,0.6
Operating Profit Margin,0.0
Net Profit Margin,0.23924209057926454
Earnings Per Share (EPS),11.75
Price to Earnings (P/E) Ratio,9.013410855013145
Days Sales Outstanding (DSO),464.89462591422546
Days Inventory Outstanding (DIO),
Cash Conversion Cycle (CCC),
Debt to Equity Ratio,1.6356649461258654
Debt to Capital Ratio,0.6070417038374203
Debt to Assets Ratio,0.13844771192608882
Financial Leverage Ratio,11.699927692205916
Debt to EBITDA Ratio,7.142407203204516
Interest Coverage,1.2643248223343668
