,0
Current Ratio,0.9198996076715646
Quick Ratio,0.7664385899138426
Return on Equity (ROE),0.36219590792280887
Return on Assets (ROA),0.10955294743662818
Gross Profit Margin,0.570824623701689
Operating Profit Margin,0.2510176870627863
Net Profit Margin,0.19028925612550868
Earnings Per Share (EPS),9.256550200000001
Price to Earnings (P/E) Ratio,20.029122606375875
Days Sales Outstanding (DSO),45.99746721989176
Days Inventory Outstanding (DIO),71.2559787561744
Cash Conversion Cycle (CCC),38.060719541006975
Debt to Equity Ratio,1.1917105137369677
Debt to Capital Ratio,0.44449289653041946
Debt to Assets Ratio,0.2718405486708457
Financial Leverage Ratio,3.615682644849391
Debt to EBITDA Ratio,1.851717711826201
Interest Coverage,35.31217919947769
