,0
Current Ratio,1.2634995835606981
Quick Ratio,0.8499801327915714
Return on Equity (ROE),0.2808204300283954
Return on Assets (ROA),0.051735400116159624
Gross Profit Margin,0.23714877869713294
Operating Profit Margin,0.07953101623964988
Net Profit Margin,0.0669994002660607
Earnings Per Share (EPS),5.510333333333333
Price to Earnings (P/E) Ratio,-252.04130160954506
Days Sales Outstanding (DSO),79.28470188033371
Days Inventory Outstanding (DIO),139.07541738579292
Cash Conversion Cycle (CCC),151.44615899379525
Debt to Equity Ratio,0.27275403439308876
Debt to Capital Ratio,0.6414175916578683
Debt to Assets Ratio,0.2926109953322467
Financial Leverage Ratio,1.8611805278724411
Debt to EBITDA Ratio,-20.396656090616755
Interest Coverage,inf
