,0
Current Ratio,1.2907307629867375
Quick Ratio,1.2262296372830204
Return on Equity (ROE),0.4584343555668879
Return on Assets (ROA),0.1186460331333666
Gross Profit Margin,0.4625135621796732
Operating Profit Margin,0.2299670435445276
Net Profit Margin,0.14969735587083388
Earnings Per Share (EPS),4.741666666666666
Price to Earnings (P/E) Ratio,-2.3674652893585395
Days Sales Outstanding (DSO),44.02803304544162
Days Inventory Outstanding (DIO),14.09944027014558
Cash Conversion Cycle (CCC),-34.41133768304051
Debt to Equity Ratio,1.0149967322284215
Debt to Capital Ratio,0.43126532196663453
Debt to Assets Ratio,0.2619549961944923
Financial Leverage Ratio,3.3694922341707128
Debt to EBITDA Ratio,2.3651339749634115
Interest Coverage,47.57551067906763
